Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,Tkl,xG,xAG,SCA,GCA,SoTA,GA,Saves,Save%,CS,is_goalkeeper,Rank
2004,Ruud van Nistelrooy,25-9-10,3805.0,28.0,2.0,3.0,,50.02255639097744,4.0,0.0,,,0.6622864651773982,0.0473061760840998,1.1831879304041972,2.0,0.0,0.0,0.0,0.0,0.0,0,9
2004,Angelos Charisteas,18-6-4,1205.0,6.0,7.712062256809339,0.0,,50.02255639097744,0.0,0.0,,,0.4481327800829875,0.5760046498861746,3.736124543724456,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,11
2004,Cristiano Ronaldo,23-5-11,2175.0,6.0,4.0,0.0,,50.02255639097744,6.0,1.0,,,0.2482758620689654,0.1655172413793103,2.069898885143894,4.0,0.0,0.0,0.0,0.0,0.0,0,12
2004,Milan Baroš,10-6-5,1117.0,7.0,3.0,0.0,,50.02255639097744,2.0,0.0,,,0.5640107430617726,0.2417188898836168,4.03046559998923,3.0,0.0,0.0,0.0,0.0,0.0,0,12
2004,Zlatan Ibrahimović,20-9-5,2369.0,17.0,7.712062256809339,1.0,,50.02255639097744,6.0,0.0,,,0.6458421274799493,0.2929867467762095,1.900392602443212,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,14
2004,Samuel Eto'o,17-5-17,3287.0,21.0,7.712062256809339,6.0,,50.02255639097744,4.0,1.0,,,0.574992394280499,0.2111608162801461,1.3696471174894949,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,15
2005,Ronaldinho,30-10-7,4096.0,16.0,7.712062256809339,6.0,,50.02255639097744,7.0,0.0,,,0.3515625,0.1694544929474708,1.099128436325188,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,1
2005,Frank Lampard,40-11-5,5003.0,20.0,18.0,3.0,,50.02255639097744,7.0,0.0,,,0.3597841295222866,0.3238057165700579,0.8998660953803657,18.0,0.0,0.0,0.0,0.0,0.0,0,2
2005,Steven Gerrard,21-9-14,3713.0,13.0,4.0,0.0,,50.02255639097744,6.0,0.0,,,0.315109076218691,0.0969566388365203,1.212504733419868,4.0,0.0,0.0,0.0,0.0,0.0,0,3
2005,Thierry Henry,26-13-5,3878.0,31.0,14.0,1.0,,50.02255639097744,3.0,0.0,,,0.7194430118617844,0.3249097472924188,1.1609154397080892,14.0,0.0,0.0,0.0,0.0,0.0,0,4
2005,Andriy Shevchenko,28-11-7,3777.0,28.0,7.712062256809339,1.0,,50.02255639097744,3.0,0.0,,,0.6671961874503575,0.1837663762543925,1.1919592468064522,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,5
2005,Paolo Maldini,31-8-7,4069.0,1.0,7.712062256809339,0.0,,50.02255639097744,4.0,0.0,,,0.0221184566232489,0.1705789145030328,1.1064217437178594,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,6
2005,Adriano,21-20-3,3394.0,31.0,7.712062256809339,3.0,,50.02255639097744,3.0,1.0,,,0.8220388921626399,0.2045037133508663,1.3264673173800736,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,7
2005,Zlatan Ibrahimović,34-11-7,4202.0,24.0,7.712062256809339,1.0,,50.02255639097744,8.0,0.0,,,0.5140409328891005,0.1651798198745455,1.0714017313631532,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,8
2005,Kaká,35-11-8,4379.0,10.0,7.712062256809339,0.0,,50.02255639097744,6.0,0.0,,,0.2055263758849052,0.1585032206240786,1.0280954727535898,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,9
2005,Samuel Eto'o,28-10-6,3710.0,29.0,7.712062256809339,4.0,,50.02255639097744,4.0,0.0,,,0.7035040431266847,0.1870850682244853,1.2134851954684551,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,10
2005,John Terry,37-9-5,4590.0,7.0,1.0,0.0,,50.02255639097744,7.0,0.0,,,0.1372549019607843,0.0196078431372549,0.9808344390387732,1.0,0.0,0.0,0.0,0.0,0.0,0,11
2005,Claude Makélélé,34-9-4,4228.0,1.0,2.0,0.0,,50.02255639097744,8.0,0.0,,,0.021286660359508,0.042573320719016,1.0648131682090751,2.0,0.0,0.0,0.0,0.0,0.0,0,13
2005,Juan Román Riquelme,24-15-10,4228.0,20.0,7.712062256809339,11.0,,50.02255639097744,8.0,1.0,,,0.4257332071901608,0.1641640499320814,1.0648131682090751,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,14
2006,Fabio Cannavaro,37-12-4,4731.0,4.0,7.712062256809339,0.0,,50.02255639097744,7.0,1.0,,,0.0760938490805326,0.1467101253673304,0.951602214159368,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,1
2006,Thierry Henry,28-11-10,4099.0,35.0,8.0,3.0,,50.02255639097744,4.0,0.0,,,0.768480117101732,0.1756525981946816,1.0983239998018954,8.0,0.0,0.0,0.0,0.0,0.0,0,3
2006,Ronaldinho,34-9-2,3941.0,24.0,7.712062256809339,9.0,,50.02255639097744,5.0,0.0,,,0.5480842425780259,0.1761191583640803,1.1423572888068942,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,4
2006,Zinedine Zidane,19-15-6,3080.0,11.0,7.712062256809339,2.0,,50.02255639097744,9.0,0.0,,,0.3214285714285714,0.22535246854313,1.4616980763597305,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,5
2006,Samuel Eto'o,30-11-4,3993.0,32.0,7.712062256809339,1.0,,50.02255639097744,2.0,0.0,,,0.7212622088655146,0.1738255955704584,1.127480609864255,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,6
2006,Miroslav Klose,24-8-8,3299.0,34.0,7.712062256809339,1.0,,50.02255639097744,5.0,1.0,,,0.9275538041830858,0.2103927260117734,1.364665072806296,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,7
2006,Didier Drogba,27-5-6,2629.0,14.0,11.0,0.0,,50.02255639097744,10.0,0.0,,,0.4792696842906047,0.3765690376569037,1.7124496292080522,11.0,0.0,0.0,0.0,0.0,0.0,0,8
2006,Andrea Pirlo,34-11-8,4457.0,6.0,7.712062256809339,0.0,,50.02255639097744,5.0,0.0,,,0.1211577294144043,0.1557293253562577,1.0101032253058042,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,9
2006,Deco,31-11-3,3728.0,5.0,7.712062256809339,0.0,,50.02255639097744,15.0,2.0,,,0.1207081545064377,0.1861817604916417,1.2076260931298202,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,11
