Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,TklW,SoTA,GA,Saves,Save%,CS,is_goalkeeper
2007,Cristiano Ronaldo,35-7-12,"4,504",25.0,8.0,3.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Lionel Messi,17-7-7,"2,376",15.0,,0.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Didier Drogba,31-12-5,"3,996",26.0,4.0,0.0,,,11.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Andrea Pirlo,32-15-10,"4,752",3.0,,0.0,,,6.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Ruud van Nistelrooy,27-7-10,"3,748",31.0,,6.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Zlatan Ibrahimović,25-8-4,"2,895",15.0,,0.0,,,12.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Cesc Fàbregas,26-14-12,"4,318",4.0,11.0,0.0,,,10.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Robinho,24-6-10,"2,321",7.0,,0.0,,,5.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Francesco Totti,25-12-9,"3,988",30.0,,6.0,,,4.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Frédéric Kanouté,24-9-9,"3,418",25.0,,7.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Ronaldinho,24-8-9,"3,542",23.0,,7.0,,,8.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Steven Gerrard,31-13-11,"4,700",13.0,2.0,1.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Juan Román Riquelme,5-4-4,"1,170",1.0,,1.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2007,Dani Alves,28-10-10,"4,290",5.0,,0.0,,,17.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Cristiano Ronaldo,38-13-4,"4,661",43.0,6.0,5.0,,,7.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Lionel Messi,21-10-6,"2,726",16.0,,5.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Fernando Torres,30-15-6,"3,933",33.0,4.0,0.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Xavi,34-15-8,"4,689",11.0,,0.0,,,6.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Andrey Arshavin,11-4-7,"1,952",7.0,,0.0,,,4.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,David Villa,21-8-14,"3,107",25.0,,3.0,,,5.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Zlatan Ibrahimović,24-9-7,"3,128",24.0,,9.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Kaká,20-8-10,"3,270",17.0,,7.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Steven Gerrard,28-15-9,"4,422",17.0,8.0,5.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Marcos Senna,30-5-9,"3,749",5.0,,3.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Emmanuel Adebayor,28-13-4,"3,558",27.0,4.0,3.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Wayne Rooney,29-9-2,"3,222",18.0,9.0,0.0,,,10.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Sergio Agüero,25-8-12,"3,402",24.0,,0.0,,,10.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0
2008,Frank Lampard,23-11-4,"2,966",15.0,8.0,6.0,,,5.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Lionel Messi,31-9-3,"3,444",32.0,,3.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Cristiano Ronaldo,32-13-4,"4,112",22.0,6.0,4.0,,,9.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Xavi,43-11-5,"4,925",9.0,0.0,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Andrés Iniesta,31-8-2,"3,168",6.0,,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Samuel Eto'o,31-11-6,"3,870",36.0,,3.0,,,11.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Kaká,28-9-3,"3,256",18.0,2.0,8.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Zlatan Ibrahimović,28-12-8,"4,248",27.0,,2.0,,,10.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Wayne Rooney,34-11-5,"3,795",24.0,7.0,0.0,,,11.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Didier Drogba,18-12-4,"2,215",10.0,4.0,0.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Steven Gerrard,33-10-3,"3,724",24.0,9.0,7.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Fernando Torres,30-10-2,"3,135",19.0,4.0,0.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Cesc Fàbregas,23-9-7,"3,201",4.0,10.0,0.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Edin Džeko,27-8-11,"3,875",37.0,,0.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Ryan Giggs,24-10-5,"2,157",3.0,7.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2009,Thierry Henry,34-7-5,"3,430",26.0,,0.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Lionel Messi,38-9-3,"4,187",42.0,,1.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Andrés Iniesta,32-8-3,"2,867",2.0,,0.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Xavi,38-10-4,"4,371",4.0,,0.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Wesley Sneijder,29-10-3,"3,296",9.0,,0.0,,,5.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Diego Forlán,21-16-17,"4,303",27.0,,4.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Cristiano Ronaldo,31-6-5,"3,465",34.0,,4.0,,,6.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,David Villa,29-13-7,"3,999",34.0,,4.0,,,7.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Didier Drogba,24-9-10,"3,721",34.0,10.0,1.0,,,8.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Xabi Alonso,36-4-7,"4,108",3.0,,1.0,,,16.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Carles Puyol,35-9-3,"4,054",1.0,,0.0,,,12.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Samuel Eto'o,28-13-11,"4,297",18.0,0.0,3.0,,,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Mesut Özil,28-12-9,"3,943",11.0,,2.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Arjen Robben,25-5-7,"2,624",21.0,,3.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2010,Thomas Müller,30-11-9,"3,865",18.0,,0.0,,,6.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Lionel Messi,35-8-4,"3,997",43.0,,5.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Cristiano Ronaldo,38-8-3,"4,189",48.0,,9.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Xavi,39-7-3,"3,926",6.0,1.0,0.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Andrés Iniesta,42-7-2,"4,309",11.0,0.0,0.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Wayne Rooney,26-10-5,"3,354",16.0,11.0,4.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Luis Suárez,17-10-10,"3,287",15.0,3.0,2.0,,,10.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Diego Forlán,15-8-18,"2,846",12.0,,0.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Samuel Eto'o,25-8-12,"3,855",29.0,,6.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Mesut Özil,43-8-6,"4,197",9.0,0.0,0.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Wesley Sneijder,25-6-12,"3,627",11.0,,0.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Thomas Müller,34-8-9,"4,144",19.0,,0.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,David Villa,45-7-2,"4,348",27.0,0.0,3.0,,,3.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2011,Bastian Schweinsteiger,29-8-8,"3,839",6.0,0.0,1.0,,,10.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2012,Lionel Messi,37-11-5,"4,710",67.0,0.0,14.0,,,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2012,Cristiano Ronaldo,46-7-5,"5,210",64.0,0.0,15.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2012,Andrés Iniesta,29-10-2,"2,973",5.0,2.0,0.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2012,Xavi,33-12-3,"3,511",12.0,0.0,0.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2012,Radamel Falcao,30-10-13,"4,365",37.0,0.0,6.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2012,Andrea Pirlo,27-19-0,"4,156",4.0,2.0,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2012,Didier Drogba,22-10-8,"2,813",15.0,1.0,1.0,,,3.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2012,Robin van Persie,29-9-15,"4,522",40.0,9.0,3.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
